Name
Absolut 600
Adam Sunrise
Aggie Banana
Alaskan Orange
Alaskan Polar Bear
Alcoholic Icy-Pole
Alternate Root
Amaretto Sunrise Crush
Andrea's Colada Collision
Apple a la Mode
Apple Colada
Avocado Daiquiri
Baby Jane
Bailey's Banana Colada
Bailey's Shake
Banana Colada #2
Banana Daiquiri
Banana Foster
Banana Nutbread
Barnaby's Buffalo Blizzard
Batida de Banana
Batida de Maracuja
Batidas Frozen
Bellini Cocktail
Black Forest Shake
Black Magic
Blonde Bombshell
Blue Hawaiian
Blueberry Freeze
Borinquen
Brandied Peaches 'n' Cream
Brandy Alexandra
Brazilian Monk
Bruja Mexicana
Brute
Bushwacker
Bushwacker #2
Bushwacker #3
Butter Pecan
Caffeine Attack
Calm Voyage
Cape Cod Crush
Cape Snow
Captain Creamsicle
Captain's Colada
Caramel Nut
Chambord Daiquiri
Cherry Chocolate Freeze
Cherry Tree Climber
Chi-Chi
Circus Peanut Margarita
Classic Peach Daiquiri
Cocobanana
Coconut Brandy Bowl
Cokahlualicious
Colada Brazil
Coo Coo
Cossack Charge
Country Cream
Cranberry Margarita
Creamsicle Margarita
Creamy Grasshopper
Creamy Punani
Creamy Screwdriver
Crickets
Crime of Passion
Cryonic Shock
Deer Killer
Derby Daiquiri
Dirty Banana
Donna Reed
Drum Cocktail
Eskimo Joe's Drink
Florida Pina Colada
Florida Rum Runner
Friday
Friday Freeze
Fridays Frozen Mudslide
Friesian
Frozen Apple
Frozen Aquavit
Frozen Barcelona
Frozen Berkeley
Frozen Black Irish
Frozen Brandy And Rum
Frozen Coconut
Frozen Fruit Daiquiri
Frozen Gael
Frozen Key Lime
Frozen Margarita
Frozen Margarita #2
Frozen Matador
Frozen Midori Sour
Frozen Mint Daiquiri
Frozen Mudslide #2
Frozen Peach Daiquiri
Frozen Pineapple Daiquiri
Frozen Strawberry Banana Colada
Fruit Fly
Fruit Salad Daiquiri
Gamble
Gauguin
Gayley Avenue Margarita
Glaciermeister
Golden Cadillac
Golden Dream
Golden Star
Gooseberry Jam
Gorilla Milk #2
Gorilla Smile
Grapefruit Nog
Green Iguana
Green Whale
Hammer Horror
Heartbreaker's Special
Hilde's Special
Hot and Creamy
Hummer
Hummingbird #2
Ice Cream Genius
Ice-Cream Flip
Iceberg
Iceberg In Radioactive Water
Iceberg In Radioactive Water #2
Island Delight
Jager Vacation
Jamaican Banana
Jedi Mind Trick
Kahlua and Iced Cream
Kaiser's Jest
Key West Song
Kish Wacker
Kori's Saturday Night Special
Kretchma
Laura's Surprise
Lawn Boy
Liquid Courage
Little Brother
Lorraine's Delight
Magnum
Malibu Milk Shake
Malibu Pink Panther
Mango Mint
Maria's Delight
Mexican Mudslide
Michael Moros Detroit Boy
Midori Chan
Midori Margarita
Mint Daiquiri
Monet Carribean Frost
Monkey La La
Montezuma
Moosemilk
Multiple Orgasm Cajun Style
Neon Voodoo
Nut Crusher
Nutcracker
Orange Push-Up
P.S.U. Victory Dance
Parrot Perch
Pawpaw Paradise
Peach Daiquiri
Peach Daiquiri #2
Peach Fuzz
Pensacola Bushwacker
Phoenix Paradise
Picker's Peach
Pina Colada
Pina Vina
Pineapple Daiquiri
Pink Panties
Pisco-Rita
Pumpkin Eater
Pure Ecstacy
Raspberry Swirl
Red Zalo
Rieber Red Margarita
Robinson
Royal Peaches and Cream
Rum Runner Island Style
Sammy Special
Senegali Sunshine
Sex On Ice
Sexy Blue Eyed Boy
Shark Bite #2
Shark's Mai Tai
Siberian Sunrise
Silver Fizz
Silver Stallion Fizz
Sloe Tequila
Smooth Operator
Smooth Pineapple Daiquiri
Snow Blinder
Soviet Cocktail
Spunky Monkey
Strawberries And Cream
Strawberry Dawn
Strawberry Dream
Strawberry Mango Margarita
Strawberry Mango Margarita #2
Super Smoothie
Talbot's Dream
Tanzanian Tonic
The Dangerous Dave
The Dark Side
The Drunken Elf
The Fat Albert
The Kristy
The Kristy #2
The World's Best Pina Colada
Tinyee's Orange Smoothie
Tipsy Island
Ultimate Blue Frozen Margarita
Ultimate Margarita
Watermelon Margarita
White Cargo
White Dove
