Name
Aberdeen Angus
Admiral
Affinity
Agent Orange
Agent Orange #2
Aggravation
Algonquin
Algonquin Bar Punch
All American
Allegheny
Amaretto Jack
Amor de Cosmos
Anchors Aweigh
Andy's Manhatten
Angela The Bartender's Hooters
Apple Jack
Apple Jack (Original)
Apple Manhattan
Applejack Cocktail #2
Apricot Jack
Apricot Kiss
Aquarius
Artists' Special
Atlas
Avalanche
Avril Cocktail
AWOL
Baby's Bottom
Back Street Banger
Bairn
Ballylickey Bait
Balmoral
Bamboo Cocktail
Banana Bird
Banff Cocktail
Bannockburn
Banshe
Barbican
Barn Door #2
Barnstormer
Basin Street
Bay Horse
Be Sweet
Beadlestone Cocktail
Beal's Cocktail
Beam 'n Squirt
Beam and 7
Beam Me Up
Beam Scream
Bearded Clam
BeeGee OJ
Belfast Carbomb
Bellamy Scotch Sour
Bend Me Over Slammer
Benka on the Rocks
Bessemer
Big Brothers
Bill Leaves Town
Bittersweet Jack
Black Irish
Black Rose
Black Stuff
Black Stuff #2
Black Tartan
Black Tooth
Black Watch
Blackjack
Blarney Stone Cocktail
Bleeding Orgasm #2
Blended Comfort
Blimey
Blinder
Blinker Cocktail
Blood and Sand Cocktail
Bloody Jack
Bloody O.J.
Blue Blazer #2
Blue Grass Cocktail
Blue Latvian
Blue Lightning
Blue Zero
Bobby Burns Cocktail
Bonny Doon
Bonny Prince
Bootleg
Borrowed Time
Boston Sour
Boulevard
Bourble
Bourbon a la Creme
Bourbon a la Kris
Bourbon and Branch
Bourbon and Sprite
Bourbon and Water
Bourbon Cobbler
Bourbon Cobbler #2
Bourbon Collins
Bourbon Cooler
Bourbon County Cowboy
Bourbon Crusta
Bourbon Daisy
Bourbon Fix
Bourbon Flip
Bourbon Highball
Bourbon Milk Punch
Bourbon Milk Punch #2
Bourbon Milk Punch #3
Bourbon Old-Fashioned
Bourbon Sangaree
Bourbon Sidecar
Bourbon Sling
Bourbon Sloe Gin Fizz
Bourbon Sour
Bourbon Stone Sour
Bourbon Supremo
Bourbon Swizzle
Bourbon Toddy
Bourbon Triple Sour
Bourbonella
Bourbonime
Bouzo
Boyd of the Loch
Brainstorm
Brandon and Will's Coke Float
Brass Fiddle
Brooklyn
Brown Fox
Buddy's Favorite
Bull and Bear
Burn's Night Special
Bushwacker #4
Butch's Pink Panties
Butter Nut Scotch
Butterscotch Milk Punch
Buzzer
Byrrh Cocktail
C60
Cablegram
Cafe Antrim
Cajun Comforter
Caleigh
Cameron's Kick
Canada Cocktail
Canada Drink
Canadian and Campari
Canadian Black
Canadian Blackberry
Canadian Breeze
Canadian Cherry
Canadian Cider
Canadian Cocktail
Canadian Cowgirl
Canadian Funky Electric Cider
Canadian Manhattan
Canadian Old-Fashioned
Canadian Pineapple
Canal Street Daisy
Candied Sever St. Special
Cannibalized Christian
Cassidy Mist
Cat and Fiddle
Ceasefire
Celtic Mix Cocktail
Celtic Twilight
Champagne Julep
Chapel Hill
Charmer
Chelsea Cocktail
Cherry Gobbler
Cherry Shake
Chilly Irishman
Choker
Chronic
Cibola
Cinnamon Road
Citrus Mist Colada
Claremont
Cloud Walker
Cock-A-Bendy
Cocoboodo
Coffee Egg Nog
Coffee Old-Fashioned
Cold Kiss
Cold Porridge
Colonel Dan's Ice Tea
Columbia Gold
Comforting Coffee
Commando Cocktail
Commodore Cocktail
Commonwealth
Cowboy Cocktail
Cowboy's Comet
Crater Face
Cream of Jack
Creamy Bush
Creme Dream
Creole Lady
Culloden
Cum in a Blender
Cumulus
Cuntrat Supreme
Cutty Collins
Cutty Rickey
Daily Mail
Daisy Dueller
Dalton
Dancing Leprechaun
Dandy Cocktail
Danny's Delight
Danny's Special
David Caradine
Daytona Rolling Thunder
Dead Man's Handle
Debonaire Cocktail
Deerslayer
Dell Boy
Delta Cocktail
Depressed Goalie
Derby Fizz
Dew
Dew Me
Dick Wells
Dickel & Dew
Dickie Ward
Dinah Cocktail
Dirty Butt Whore
Dirty Sock
