Name
A Day at the Beach
A Little Dinghy
A Night In Old Mandalay
A Sunny Delight
Abilene
Acapulco Zombie
Affair
After Sex
Akis Special
Alabama Riot
Alamo Splash
Alcoholic Sherbert Delight
Alebrije
Algae
Alien Urine
Alien Urine Sample
Almost Heaven
An Arif
Atlantic Sun
Atlas
Attitude
Aztec Surfboard
Baby V.O.X.
Bacchanalian Cocktail
Bad Attitude
Bahama Mama Sunrise
Bahama Todd
Bahia Breeze
Bakunin
Bald Pussy
Bali Dream
Bali Punch
Barn Door
Baso
Bay Breeze
Beach Bum
Beach Sunday
Bent Bum
Bermuda Rum Swizzle
Bernardete
Berry Buster
Big Bad Voodoo Kooler
Big Dumb Russian
Bigger Better Blue Lagoon
Bingo
Black Orgasm
Bleeding Surgeon
Blindside
Bloated Bag of Monkey Spunk
Blonde Ron
Bloody Coochie
Bloody Passion
Bloody Smurf
Blue Dog
Blue Hawaiian Screw
Blue Hawaiian Screw #2
Blue Heaven
Blue Light Special
Blue Monkey
Blue Whale
Blue-Woo
Boardwalk Breeze
Boca Chica
Bolduc On The Beach
Bondages' No Problem
Booda's Black Brew
Bootzilla
Boozy Maria
Bora Bora
Bot Cocktail
Brain Blender
Brain Candy
Brassy Blond
Brian Fabulous
Burning Sun
Burnso Tropical
Burnt Embers
Bury Me Deep
Buttock Clencher
Buzz Lightyear
Buzzby
By The Pool
Bye Bye Bahamas
Cactus Bowl
Californian Hurricane
Camen Miranda
Camp Grenada
Campbell F. Craig
Camshaft
Canada Dream
Canario
Cape Of Good Will
Captains Pie
Caribbean
Caribbean Bliss
Caribbean Breeze
Caribbean Cruise
Caribbean Dream
Caribbean Harvest
Caribbean Pineapple
Caribbean Queen
Caribbean Smoked Torch
Caribbean Sunset
Caribou Lou
Carla
Carnegie Sunrise
Cazuela
Charlie's Angel
Chicago View
Chicks Dig It
Chilly Willy
China Village Mai Tai
Coco Cabana
Coco Rush
Coctel Algeria
Colonial Cocktail
Colonial Rummer
Columbus Cocktail
Coo Coo
Coppertone Punch
Cornholio's Revenge
Cornwall-Nash
Corsican
Cowboy Roy
Cracklin' Rosie
Cran-Collins
Cran-Ram
Cran-Razz
Cranberry Newt
Cranberry Toad
Crazy Janie
Crazy Monkey
Croc Punch
Crocodile
Cuban Crime of Passion
Cuban Special
Cucci
Cyber Smoke
Cyberlady
Daredevil
Dark Fuzzy Navel
Death of a Virgin
Dick in the Dirt
Dirty Dog
Dit Kicker
Diva
Downshift
Duck Soup
Dungeon Punch
Dutch Turbo
Eagle Eye
Earls Court
East India Cocktail #1
East West Cocktail
Easy Money
Eden Cocktail
EDO Cocktail
Egril
El Nino
Electric Koolaid
Electric Smurf
Electric Watermelon
Emerald City
Emerald Star
Eroticolada
Ershammar Dream
Evergreen
Exotic Finn
Exotic Summernight
Exploding Cherry
Extra Fuzzy Navel
Eye of the Tiger
Eyes Wide Shut
Fat Hooker
Fat Sailor
Feel This
Finnish Passion
Firebird
Fishbone
Five Dollar Shake
Flamingo Punch
Florida Rum Runner
Flower Of Nippon
Flyin' Hawaiian
Flying Masturbator
Fong Juice
Forbidden Smoke
Forest Funk
Formula 1
French Whore
Frooty Biznitch
Frozen Berkeley
Frozen Matador
Frozen Melon Ball
Frozen Passion Margarita
Fruit a La La
Fruit Lush
Fruit Sensation
Fruitopia
Fruity Vodka Beverage
Fu** Me Like A Beast
Fubar Kool-Aid
Full Moon Fever
Funky Filly
Fuzzy Comfort
Fuzzy Cooter
Fuzzy F**ker
Fuzzy Logic
Fuzzy Melonberry
Fuzzy Navel #2
Fuzzy Nipple
Fuzzy Pierced Navel
Fuzzy Pusser
Fuzzyberry
Garden Fresh
Gator Piss
Gauguin
Gayhound
Gene Splice
Georgian Sunrise
German Bight
Get Laid
Giraffe
Glow-Worm
God's Great Creation
Gold Record
Golden Daze
Golden Shower
Golden Sunrise
Golden Tang
Good Fortune
Gorilla Smile
Grampa Doogin
Grand Pear
Grand Quetsch
Grape Coconut
Grapefruit Cocktail
Grapefruit Crush
Grapefruit Splash
Grapes of Wrath
Grass Skirt
Green Alien
Green Dinosaur #4
Green Dream
Green Hope
Green Iguana
Green Island
Green Jolly Rancher
Green K
Green Ocean
Green Pussy
Green Russian
Green Slime
Green Wave
Green Whale
Greven
