Name
High Speed
Hilgert Cocktail
Hocus Pocus
Hoffman House Martini
Hokkaido Cocktail
Hokkaido Highball
Holland Martini
Hollywood Martini
Homestead Cocktail
Hong Kong Smog
Honolulu Cocktail
Honolulu Cocktail #2
Honolulu Shooter
Hopeless Case
Hornet
Hornpipe
Hot Gin
Hotel Plaza Cocktail
Hudson
Hula Hoop
Hula Hula
Ideal Cocktail
Imperial Cocktail
In and Out Martini
Income Tax Cocktail
Indispensable Martini
Iron Bar Sling
Jasmine
Jean Lafitte
Jeff Tracy
Jen's Mountain Gin
Jessica Cocktail
Jet Black
Jewel Cocktail
Jewel of the Nile
Jeyplak Cocktail
JMO Sling
Jockey Club
Johnnie Cocktail
Johnny Cat
Johnny K8
Journalist Cocktail
Judgette Cocktail
Jug Wobbler
Jungle Frost
Jungle Juice #3
Jupiter Cocktail
Killarney
King of Kingston
Kir Martini
Kiss in the Dark
Kiss Off
Knickerbocker Cocktail
Knickerbocker Martini
Knockout Cocktail
Krook's Quencher
Kyoto
La Panthere Rose
La Stephanique
Ladder
Lady Evelyn
Lady Finger
Lady Love Fizz
Lady Scarlett
Lady's Mango
Lasky Cocktail
Leaning Tower
Leaning Tower
Leap Frog Highball
Leap Year
Leave It To Me
Leo Special
Lillet Cocktail
Lina
Little Red Riding Hood
London Buck
London Cocktail
London Fog
London Town
Lone Tree Cocktail
Lone Tree Cooler
Love in an Elevator
Lover's Cocktail
Lucky Stiff
Luigi
Luxury
MacAttack
Mad Bomber
Madeleine
Magique
Magnolia Blossom
Maiden's Blush
Maiden's Dream
Maiden's Prayer
Mainbrace
Major Bailey
Mamie Taylor
Mamie's Sister
Mandarine Summertime
Manila Fizz
Marimba
Maritime Martini
Martian Martini
Martinet
Martinez
Martini Cocktail
Martini Milano
"Martini, Patton"
Martunia
Matinee
Maurice Chevalier
Maurice Cocktail
Maxim
Mayor Billy
Mcclelland Cocktail
Meiner
Melon Cocktail
Merry Widow Fizz
Midnight Martini
Midori Sun
Mike Davis
Milano Cocktail
Milky Way
Millennium Cocktail
Million-Dollar Cocktail
Mint Collins
Mint Gin Cocktail
Mint Highball
Mint Martini
Mistress
Misty Loch
Moi?
Moll Flanders Cocktail
Moment Brutale
Monkey Gland
Monkey Gland #2
Montgomery
Montmartre Cocktail
Montreal Club Bouncer
Montreal Gin Sour
Moon River
More Sunshine
Morning Milk
Morticia
Moulin Rouge Cocktail
Mr. Manhattan Cocktail
Mr. New Yorker
Mrs. Taylors
Mudskipper
My Antonella
My Place or No Place
Nadir Blue
Nadir Cocktail
Napoleon
Negroni - Zimbabwe Style
Negroni Cocktail
Nelson Special
New Moon
New Orleans Fizz
Newbury Cocktail
Nick and Nora Martini
Night Skies Over London
Nightmare
Nina's Special
Nineteenth Hole
Nord-Norsk Depresjon
North Mymms Mirage
North Polar
North Pole Cocktail
Novebuche
Novocaine
Nude Ell Cocktail
O.D.
Oaxaca Jim
Octapussy
Octopus's Garden
Old Etonian
Old Flame
Olive Martini
