Name
209 East Cocktail
Acapulco Clam Digger
Acapulco Dream Cream
Alamo Splash
Alleluia
Almond Casa Noble
Amaretto Stone Sour #3
Ambassador
Apple Grande
ApriJose Nectar
Arizona Sunrise
Arizona Sunset
Arthur's Day Dream
Aztec Gold
Aztec Surfboard
Bahia Breeze
Banana Margarita
Bangin' Margarita
Bar Bandit
Bartender's Margarita
Benelyn
Berta's Special
Big Apple Margarita
Big Bull
Big Red Hooter
Bittersweet With A Twist
Black Cat
Black Tequila
Blackberry Tequila
Blackjack Margarita
Blitz
Bloody Hurricane
Bloody Margarita
Bloody Maria
Bloody Matador
Blue Diablo
Blue Lagoon Margarita
Blue Margarita
Blue Sex
Blue Sunset
Bo's Space Roo
Border Crosser
Border Crossing
Born To Be Wild
Brave Bull
Broken Nose
Butcherblock
Buttafuoco
Cabo Wabo
Cactus Berry
Cactus Bite
Cactus Juice
Cadalac Margarita
Cadillac Margarita
California Dream
Campbell F. Craig
Campesina
Carabinieri
Casa Noble Margarita
Catalina Margarita
Cavalier
Cazuela
Champange Rita
Changuirongo
Chapala
Charlie's Angel
Charro Negro
Cheaterita
Chihuahua
Cinco de Mayo
Cinco de Rob-o
Cindy's Cycle
Circus Peanut Margarita
Citrus Cactus
Coconut Tequila
Colorado Motherfucker
Colorado Skies
Compadre
Corcovado
Cosmoquila
Cosmotequila
Cowboy Killer
Cowgirl's Prayer
Cranberry Margarita
Creamsicle Margarita
Cucaracha
Daring Dylan
Deceiver
Diablo
Doctor Dawson
Doralto
Douglas Town
Duck Shit Inn
Durango
El Bano
El Diablo
Eldorado
Electric Margarita
Ethnic Sugar
Executive Sunrise
Exorcist Cocktail
Fancy Tequila Cocktail
Fart in the Ocean
Firebird
Fisting in a Mexican Prison
Flamingo Rita
Flying Squirrel
Frank Davis Punch
Freddy Fudpucker
Frogster
Frozen Margarita
Frozen Margarita #2
Frozen Matador
Frozen Passion Margarita
Frozen Strawberry Margarita
Frozen Tequila Screwdriver
Fruit Margarita
Fruits of the Desert
Fuzzy Pierced Navel
Gasoline
Gates of Hell
Gayley Avenue Margarita
Georgian Sunrise
German Hooker (Die Deutsche Nu...
Gold Driver
Gold Margarita
Gold Margarita #2
Gold Record
Gold Standard
Golden Margarita
Gorilla Sweat
Granny Apple Blossom
Grape Rape
Green Casa Noble
Green Iguana
Green Iguana Margarita
Green Mexican
Green Zone
Gull's Wing
Harvest Moon
Heavy G
Hell Mary
High Voltage
Highland Margarita
Homewrecker
Hot Daring Dylan
Hot Pants
Hot Piper
Hot Zultry Zoe
Hpnotiq Margarita
Ice Bet
Ice Breaker #2
Indigo Blues
Irish Cactus
Irish Rose
Island Rose
Italian Margarita
Italian Margarita
Jacana
JimPop's Margarita
John Stalker
Jose and Ginger
Joumbaba
Juan Blue
Juanita's Cadillac Delight
Juanita's Delight
Juanita's Gold Delight
Juliet
Jumping Bean
Kahlua Twist
La Bomba
Las Vegas
Last Chance
Latin Lover
Le Margarita des Artistes
Lemonade Lush
Loco Lemonade
Lolita
Malibu Wave
Mango Margarita
Mansion Margarita
Margarita Cocktail
Margarita Cocktail #2
Margarita Cocktail #3
Margarita's Cadillac Delight
Margarita's Delight
Margarita's Golden Delight
Maria Theresa
Massacre
Matador Cocktail
Mayan Whore
McRita Cocktail
Melon Margarita
Mexican Bliss
Mexican Cappuccino
Mexican Chocolate
Mexican Colada
Mexican Dew
Mexican Flag
Mexican Iced Tea
Mexican Kelman
Mexican Madras
Mexican Martini
Mexican Mouthwash
Mexican Screw
Mexican Sexy Lemonade
Mexican Strawberry
Mexican Virgin
Mexican's Revenge
Mexicana
Mexicola
Midori Margarita
Monkey Tree
Montezuma
Moonraker
Mountain Sunrise
Navy Seal
Nick at Night
Olive in an Olive
Orange Margarita
Orange Rita
Orange Tiger
Orgasm #8
Original Margarita
Pacific Sunshine
Paloma
Panama Red
Panther
Panther Sweat
Parkeroo
Parrothead Martini
Passion Margarita
Passionate Rita
Peach Harpoon
Peach Margarita
Peach Tequila
Perfect Margarita
Pina Rita
Pink Beaner
Pink Paradise
Piper
Platina Blonde
Platinum Grand Margarita
Poker Face
Puckerita
Purple Cactus
Purple Gecko
Purple Margarita
Quick's Killaritas
Rearbuster
Red Face
Red Headed Mexican
Rieber Red Margarita
Rosarita
Rosarita Highball
Rosita
Sally Fudpucker
Salty Chihuahua
Sangria Margarita
Santa Fe
Scottie Was Beamed Up
Sex in the Desert
Shady Lady
Shaker Cocktail
Sharp Hill Sunrise
Silk Stocking
Silk Stockings
Sleigh Ride
Smiler
South Of The Border
Special Tequini
Spic
Stella's Stinger
Strawberry Bandit
Strawberry Mango Margarita
Strawberry Mango Margarita #2
Strawberry Margarita
Tachyon
Tangerine Margarita
Tender Loving Care
Tequila and Tonic
Tequila Bom-Bom
Tequila Canyon
Tequila Cocktail
Tequila Colagallo
