Name
5th Avenue
A Brain Teaser
A Few Of My Favorite Things
A Kissed Buttery Nipple
A Monkey's Rum Martini
A-Bomb
Abbot's Dream
ABC Pousse Cafe
Abortion
Absent Friend
Absinthe Suissesse
Absolut Reese's
Absolut Zero
Acapulcoco
Adult Hot Chocolate
Afghan Monkey
Afrikaaner
After Dinner Cocktail
After Five #2
After Supper Cocktail
Aggravation
Albino Russian
Alco Choco Milkshake
Alex Chi-Chi
Alexander
Alexander Cocktail
Alexander Cocktail #2
Alexander's Big Brother
Alexander's Sister
Alexandra
Alexandra #2
All Killer with No Filler
All White Frappe
Almeria
Almond Cooler
Almond Fog
Almond Joy #2
Almond Soda
Alternatini
Amade
Amalyzer
Amaretto And Cream
Amaretto Coffee
Amaretto Colada
Amaretto Cruise
Amaretto Freeze
Amaretto Sombrero
Amarula Colada
American Leroy
Amsterdamned
Anal Sex
Andrea's Colada Collision
Andy's Ivory
Angel's Delight
Angel's Tip
Angel's Tip #2
Angel's Tit
Angel's Treat
Angry Irishman
Anisette Cocktail
Ante Meridiem
Anti-Freeze #2
Anus Butter
Apache
Apple Colada
Apple Kiss
Apricots And Cream
Aqua
Arago
Arctic Orange
Arizona Twister
Ashy Larry
Astroturf
Audrey's Russian
August Moon
Avalanche
Avalanche #2
Azzuro
B's Creamy Gift
B-2
B-28
B-52 #3
B-55
B-69
B.M.W.
Babbie's Special Cocktail
Baby Eskimo
Baby's Bottom
Bacardi Big Skeet
Back Street Banger
Baduizm
Bahama Blue
Bahia
Bahia Cooler
Bailey Martini
Bailey's and Amaretto
Bailey's Banana Colada
Bailey's Banana Vanilla Thrilla
Bailey's Comet
Bailey's Float
Bailey's Meets Cadburys
Bailey's White Russian
Bailey-Bu
Ball Bag
Banana Banshee
Banana Barbados
Banana Berry
Banana Bird
Banana Bracer
Banana Colada
Banana Cow
Banana Creame
Banana Dream
Banana Foster Martini
Banana Jacuzzi Shake
Banana Mama
Banana Moo
Banana Rama
Banana Rocket
Banana Rum Cream
Banana Slide
Banana Snowman
Banana Split
Banana Split #3
Banana Split #4
Banana Tree
Banana-Berry Felch
Bananalyzer
Bananas Foster
Bangkok Bomb
Banshee
Barbara
Barbary Coast
Batida de Banana
Batida de Brazil
Bav
Baw
BaWanna Tom
Baywatch
Bazooka
Beam Me Up Scotty
Bee's Kiss
Bee-Stung Lips
Belgian Brownie
Belize Rum Punch
Belle Melon
Bellevue
Belmont
Berry Cobbler
Berrynice
Big Blue Sky
Big Toe
Bikini Cocktail
Bit of Russian Honey
Bittersweet Symphony
Black and White
Black Banana
Black Cherry
Black Christmas
Black Cow #2
Black Forest
Blastula
Blind Russian
Blue Alexander
Blue Carnation
Blue Colada
Blue Hawaiian
Blue Knickers
Blue Russian
Blushin' Russian
BMW
Boccie Bounce
Bogomip
Bonaparte Velvet
Boo Hoo
Border Patrol
Born on the 4th of July
Bosco 42DD
Bottom of the Barrel
Bourbon Cream
Bourbon Float
Bourbon Milk Punch
Bourbon Milk Punch #2
Bourbon Milk Punch #3
Boxcar
Brain Matter
Brainwave
Brandon and Will's Coke Float
Brandy Alexander
Brandy Alexander #2
Brandy Benedictine Cream
Brandy Eggnog
Brandy Ice
Brandy Milk Punch
Brandy Plush
Brandy Puff
Brasier d'Ange
Breakfast
Breakfast Eggnog
Brick
Brigitte Bardot
Broker's Thought
Bronx Golden Cocktail
Bronx Silver Cocktail
Brown and Beige
Brown Bomber
Brown Cow
Brown Cow #2
Brown Cow From Hell
Brown Elephant
Brown Elephant #2
Brown Eye Opener
Bubble Cream Martini
Bull Rider
Bull's Milk
Burberry Bulldog
Bushwacker
Bushwacker #2
Bushwacker #3
Bushwacker #4
Butcherblock
Butter Cookie
Butter Cream
Butter Nut Scotch
Buttercream Tea
Buttered Toffee
Butterfinger
Butterscotch Dream
Butterscotch Milk Punch
Butterscotch Mudslide Shake
Buttery Nutty Squirrel
Cabana Club
Cadiz
Cafe Amaretto
Cafe de Paris
Cafe de Paris Cocktail
Cafe Foster
Cafe Joy
Cafe Marnier
Cafe Mazatlan
Cafe Theatre
Cafe Trinidad
Cafe Zurich
Caffeine Attack
Caledonia
Call of the Snowfields (Lumike...
Calm Monkey
Calm Voyage
Calming Draught
Calvados Cream
Calypso Daiquiri
Cancun Cocktail
Candida
Candy Bar
Candy Cane
Cape Brenton Slide
Capetown Coffee
Cappucino Cocktail
Capri
Captain's and Cream
Captain's Cream Soda
Car Bomb
Cara Sposa
Carabinieri
Caramel Martini
Caramel Nut
