Name
One Sip Martini
Bloody Mary (Difford's recipe)
Dry Ice Martini
Espresso Martini
Great Gatsby
Pineapple Martini (Difford's recipe)
Polish Martini
Ruby
Special Brew Martini
Sunset Vibes
Three Gulps Martini
Vesper Dry Martini
Absolute Gangster
Aigua de València
Alexander The Great
Apple Strudel
Appletini (Sour Apple Martini)
Apricot Cosmo
Banker's Lunch
Banoffee Espresso Martini
Bergamot Martini
Bernice
Bitches' Brew cocktail
Blackberry Fruitini
Blimey
Bling! Bling!
Bloody Mary (Modern Recipe)
Bloody Mary (no added sugar & low-calorie)
Bohemian Iced Tea
Bon Vivant's Martini
Boozy Suzie
Bucket List
Cherry Fruitini
Christmas Cosmopolitan
Clarified Vodka Milk Punch
Clean Aviation
Cosmopolitan Cocktail (Difford's recipe)
Courtside
Crystal Clear
Cucumber Martini
Czechmate
Daisy Cutter Martini
Double Grape Martini
Dutch Mule
Eight Foot Fizz
Elderflower Martini No.2
Espresso Martini (no sugar & low-calorie)
Espresso Martini (simple 3 equal parts recipe)
Four Aces
Francophile Martini
French Martini
"Garden, Grain & Grape"
Gargoyle No. 2
Geisha Martini
Ginger 'Martini'
Ginger Cosmo
Golden Fortune
Grand Cosmopolitan
Grapefruit Julep
Greyhound's Tooth
Gypsy Queen
Harvey Wallbanger
Hazelnut Martini
Hi Ladies!
Ice 'T' Knee
Iced Sake Martini
Japanese Pear
Kangaroo Dry Martini
Kir Cocktail
Kiwi Fresh Fruit Martini
La Dolce Vita
Lazarus
Lemon Drop Crusta
Lemongrad
Lemonhead
Long Island Iced Tea (no added sugar* & low-calorie)
Lorraine
Lotus Espresso
Love Heart
Milano
Miss Elena
Noble Europe
Pan Galactic Gargle Blaster
Passion Fruit Martini
Perfect Guest
Pernelle
Pineapple & Cardamom 'Martini'
Pineapple Martini (1990s recipe)
Polish Pear Martini
Pompanski Martini
Reality Check
Red Earl
Red Earl (Salvatore's recipe)
Reverse Vesper Martini
Reversed Vesper & Tonic 'Martini'
Rocky Mountain Rootbeer
Russian Spring Punch
Saketini
Sakini
Salty Dog
Sgroppino / Sorbetto
Showgirl Cocktail
Sketcher's Pet
Slow Comfortable Mexican Screw Against the Wall
Slow Comfortable Screw Against a Cold Hard Wall
Slow Comfortable Screw Against The Wall
Slow Comfortable Screw Against The Wall With A Bang
Slow Comfortable Screw Between the Sheets
Smoky Martini
Spanish Espresso Martini
Stairs Cocktail
Strawberry Fields
Strawberry on Acid
Sweetheart
Swiss Account
Thai Green Cocktail
The Heritage
Tomatini
Twinkle
Vodka & Tonic (VAT)
Vodka Daisy
Vodka Espresso
Vodka Fruit Cup (Difford's Cup No.6)
Vodka Gimlet
Vodka Mojito
Vodka Quarantini
Vodka Silver Bullet
Vodka Sonic Highball
Vodka Sour (no added sugar & low-calorie)
Vodka Stinger
Vodkatini / Vodka Martini
Voyager Vodka Martini
Watermelon Fruitini
Watermelon Martini
Well-fortified
White Russian Christmas
White Spider
Woody cocktail
Yuliya Martini
Z Martini
57 T-Bird Shot
Absolutely Fabulous
Adios Motherfucker
Alabama Slammer (long)
Allegrottini
Almond Cocktail
Almond Martini
Anis'tini
Apple & Melon Cocktail
Apple Martini (simple)
Apple Martini (with apple schnapps)
Apples 'n' Pears
Asian Ginger Cocktail
Atomic Cocktail
Awol
Balalaika
Banana Boomer
Banana Flambé
Banana Martini
Banana Smoothie
Barbara
Basil Grande
Bearskin Martini
Bellini-Tini
Berry Nice
Black 'N' Blue Caipirovska
Black Basil
Black Russian
Bloodhound #2
Bloody Caesar
Blue Eyed Martini
Blue Hawaii
Blue Lagoon
Blue Lassi
Blue Moon Cocktail (Dale DeGroff's recipe)
Blueberry Cocktail
Blueberry Martini
Blush Martini
Blushin' Russian
Bombay Lassi Cocktail
Bon Bon
Butterfly Cocktail
Caipirovska
Californian Martini
Calvados Appletini
Cassini
Celery Cocktail
Cheeky Monkey
Cherryberry Cherub
China Beach
Chocolate Martini
Chocolate Mint Martini
Christmopolitan
Clubland Cocktail
Cobbled Raspberry
Coessential
Colorado Bulldog
Coolman Cocktail
Cosmopolis cocktail
Cucumber & Mint Martini
Cucumber Sake-Tini
Cuppa Joe
CVO Firevault
Dairy Milk Chocolate
Death By Chocolate
Detroit Martini
Detropolitan
Dimi-tini
Divino's
Dowa
Dreamy Dorini Smoking Martini
Drink Without A Name
Dutch Martini
Dutch Master
Dutch Sour
Dyevitchka
Earl Grey Fizz
East 8 Hold-up cocktail
East Wind
Eastern Cocktail
Eastern Promise
Eden
Elderflower Cosmo
Envy
Fandango
FBI
Finitaly
Finnberry Martini
Flat White Martini
Flirtini #1
Flirtini #2
Flying Grasshopper
Franco Russian Punch
French 76
Fruit Salad
Full Monte
Fur Collar
Ginger Cocktail
Golden Tang Cocktail
Grand Duchess Cocktail
Grape Cocktail
Grape Martini
Grapple Martini
Great Chase
Green Hornet
Greyhound
Hairy Navel
Hakkatini
Hard Lemonade
Hawaiian Cosmopolitan
Haydenistic
Honey Vodka Collins
Hot Tub
Iguana Wana
Illicit Affair
Illusion
Indochine
Ink Cocktail #2
Insomniac
International Incident
Intimate Martini
Ja-Mora
Jade Garden
Juicy Gypsy
Jules Delight
Kamikaze
King of Orange
Kiwi Bellini
Kiwi Collins
Koningsdag cocktail
Koolaid
Lavender & Black Pepper Cocktail
Lavender Martini
Le Fizz cocktail
Le Fume
Lemon Butter Cookie
Lightness Cocktail
Limoncello Martini
Long Island Iced Tea Cocktail
Long Island Lemonade
Long Island Spiced Tea
Lychee Martini
Mae West cocktail
Maestro
Mandarito
Melon Martini (fresh fruit)
Meloncholy Martini
Merchant of Venice
Miami Martini
Mint Martini
Momo Special
Monsoon Martini
Monza
Moscow Mule
Mrs Robinson #2
Mudslide
Negroski
Nice Poire Martini
Nobile Cocktail
Nutty New Year
Oaks Lily
Oceanbreeze
Orang-A-Tang
Orange Spur
Oranjey Cocktail
Orchard Breeze
Oriental Grape Cocktail
Original Sin
Palomita
Parisian Martini
Passion Fruit Altern'atini (no added sugar & low-cal.)
Passion Fruit Martini (simple)
Pear & Elderflower Fruitini
Pearlinstrum
Perfect John
Pharmaceutical Stimulant
Pierced Hairy Navel
Piña Cocktail
Pineapple & Ginger Cocktail
Pineapple Lassi Cocktail
Pink Khaleesi
Pino Pepe
Plum Sour
Pontberry Martini
Quince Sour
Raspberry Lassi Cocktail
Raspberry Martini
Raspberry Mule
Raspberry Smoothie
Ray's Hard Lemonade
Reef Juice
Robin Redbreast
Rosie Lassi Cocktail
Royal Toast
Running Through Orchards
Russian
Russian Cocktail
Sage Cocktail
Sake-Tini #2
Salty Martini
Screaming Banana Banshee
Screaming Orgasm
Screwdriver (Difford's recipe)
Seabreeze
Sex On The Beach
Shaft
Showbiz
Slow Comfortable Fuzzy Screw Against the Wall
Slow Comfortable Screw Against a Cold Hard Wall With a Kiss
Smartini
Smoking Stallion
Snood Murdekin
South China Breeze
Steep Flight
Strawberry & Balsamic Cocktail
Strawberry Blonde
Strawberry Martini
Strawberry Smoothie (Alcoholic)
Strudel Martini
Summer Breeze
Summer Rose Cocktail
Summer Sour
Sunstroke
Sweetie Darling
Tartini
Tawny-Tini
Tennessee Iced Tea
Testarossa
Texas Iced Tea
The Bee Bodice
The Hive
The Joanna
Tick-Tack Martini
Toasted Almond
Tom Arnold
Tootie Fruity Lifesaver
Tovarich
Triple 'C' Cocktail
Triple Orange
Tripleberry
Turkish Coffee Cocktail
Turkish Delight Cocktail
Two 'T' Fruity
Uncle Vanya
Up In The Air
Vanilla Mocha Espresso Martini
Velvet Fog
Verdi Cocktail
Vodka Collins
Vodka Collins (no added sugar & low-calorie)
Vodka Soda
Vodka Sour
Walnut Martini
Wanton Abandon
Wasabi Martini
Wash House
Watermelon Fizz
White Elephant
White Russian Cocktail
White Stinger
Wilton Martini
Witches' Smile
Woo Woo
Yokohama
Zelenskyy Cocktail
After Eight
Alien Secretion
Alternatini
Appily Married
Apple & Blackberry Pie
Apple & Cranberry Pie
Apple & Elderflower Cocktail
Balabushka
Bali Trader
Ballet Russe
Basilico
Bay Breeze
Beach Iced Tea
Beverly Hills Iced Tea
Big Apple Martini
Bitter Grapefruit
Bitterest Pill
Bittersweet Symphony
Black Cherry Cocktail
Black Cocktail
Blue Cosmo
Blue Fin
Blue Kamikaze
Blue Mountain Cocktail
Brass Monkey
Bull Shot
California Root Beer
Cape Codder
Cascade Cocktail
Casse Noissette
Cham 69 #1
Cham 69 #2
Cherrute
Choc & Nut Cocktail
Coconut Water
Cranberry & Mint Cocktail
Cranberry Sauce
Crown Stag
Dean's Gate Cocktail
Diable Rouge
Dirty Sex on the Beach (with melon liqueur)
E.T.
Egg Custard Cocktail
Electric Lemonade
Esquire #2
Evita
Exotic Passion
F. Willy Shot
Fifth Degree
Flame of Love Martini
French Kiss #2
Fruit Tingle
Fruity Sex on the Beach
Ginger Frost
Gingerbread 'Martini'
Glass Tower
Godmother
Grateful Dead
Harpoon Cocktail
Hawaiian Seabreeze
Hong Kong Fuey
Ice White Cosmo
Icy Pink Lemonade
Iguana
Indian Sunset
It's Always Sunny
Jasmine & Elderflower Cocktail
Jasmine Lassi Cocktail
Jumbled Fruit Julep
Jungle Juice
Katinka
Key West Cooler
Kill Bill cocktail
Killer Punch
Kretchma
L'Expérience
LA Iced Tea
LCB Cocktail
Lemon Drop
LIFE (Love in the Future Ecstasy)
Liquorice Shot
Long Beach Iced Tea
Love Junk
Lush
Madras
Mambo
Martini Royale
Mediterranean Fizz
Mellow Cocktail
Merry Widow #2
Mike Romanoff
Miss Martini
Muddy Water
Myrtle Martini
Nanhi Pari
Niagara Falls
Nutcracker Sweet
Nuts & Berries
Nutty Russian
Oestersoe Cola
Ouzi
Palma Violet Cocktail
Pavlova Shot
Pink Tutu
Plum Vodkatini
Pomegranate Cocktail
Pop My Cherry
Port & Melon Cocktail
Purple Flirt #1
Purple Haze
Purple Hooter
Rajamäki Cocktail
Raspberry Debonnaire
Raspberry Watkins
Roger
San Francisco
Seabreeze (layered version)
Shamrock Express
Sputnik #1
St. Moritzino
Suitably Frank (shot)
Superminty-Chocolatini
Swedish Blue Cocktail
Sweet Tart
Swimming Pool
Tabu
Tainted Cherry
The Sun Salutation
Thomas Blood Martini
Toffee Apple Martini
Tokyo Iced Tea
Tongue Twister
Too Close For Comfort
Top Banana (shot)
Transylvanian Martini
Utterly Butterly
Velvet Hammer
Viejo Martini
Vodka Rickey
Volga Boatman
Warsaw
Washington Apple
Watermelon Man
Wild Promenade Cocktail
Yellow Fever Cocktail
Alabama Slammer (straight-up)
Anita's Attitude Adjuster
Apple Martini (IBA spec)
Aqua Velva Cocktail
B-53 Shot
Baby Woo Woo
Bingo
Black Irish
Blue Champagne
Boston Tea Party
Bullfrog #1
Bullfrog #2
Burnt Toasted Almond
Collection Cocktail
Detox
French Kiss #1
French Leave
Hand Grenade
Hot Passion
Italian Surfer with a Russian Attitude
Madroska
Melon Ball
Melon Ball Shot
Melon Martini
Moscow Lassi
Pass-on-That
Passover
Pink Flamingo
Pink Sin Martini
Russian Qualude Shot
Silk Panties
Tropical Breeze
TVR
Umbongo
Universal Shot
Fourth of July Shot
Depth Charge
