Name
Curtain Call
Daiquiri
Daiquiri No.1 (6:2:1 recipe)
Damn It Jimmy
Rum Fruit Cup (Difford's Cup No.4)
Santa Marta Daiquiri
Triple Daiquiri
Aged Honey Daiquiri
Aged Rum Fruit Cup (Difford's Cup No.14)
Air Mail
Bacardi Special
Bananarama
Breakfast Club
Canchànchara
Carta Switchel
Christmas Daiquiri
Crosstree
Daiquiri (frozen)
Daiquiri (on-the-rocks)
Daiquiri Elixir
Daiquiri No.1 Natural (Embury's 8:2:1 formula)
Daiquiri No.3
Dot (by Jason Clapham)
El Presidente
El Viajero
Elixir Tropical
Grog
Hemingway Breakfast
Honeysuckle Daiquiri
Hunter's Verdict
Let's Go Bananas
Livorno Punch (Ponce alla Livornese)
Mai Tai (Difford's recipe)
Maple Rum Old-Fashioned
Mojito Cocktail
Navy Grog
Nelson's Blood No.2
Nuclear Banana Daiquiri
Old Cuban Highball
Out to Sea
Palo Negro
Pina Colada (Difford's recipe)
Pineapple Daiquiri (Difford's recipe)
Raisin' Cane
Royal Bermuda Yacht Club Daiquiri
Royal Mojito
Rum Old Fashioned
Rum Punch
Rum Swizzle
Te Anaka
The Haiti Cocktail
The Right Hand
Thimisis
Three Dots and a Dash
Three Storms Flip
Toffee Negroni
Well Oiled Mai Tai
Winter
Zombie
100 Year Old Cigar
Ace Of Clubs Daiquiri
Across the Pacific
Aku Aku
Ancient Mariner
Anejo Highball
Angel's Draft
Anything Else
Apóstol
Around The World
Bacardi Cocktail
Back to Basics Cocktail
Bahama Mama
Bahamas Daiquiri
Bajan Daiquiri
Bajito
Bali Rum Trader
Banana Daiquiri
Banana Daiquiri (shaken)
Banana Rumhattan
Barracuda
Beat Dis
Beginning of the End
Bermuda Rum Swizzle
Between The Sheets
Big Fish
Black Daiquiri
Black Diamond
Black Gold
Black Mesa
Bouteiller
Brass Rail
Burning Bright
Cardamom Daiquiri
Caribbean Sazerac
Carousel
Catalizador
Celebration (by Grzegorz Nowicki)
Champagne Piña Colada
Chanbanger
Chapeau
Charles Daiquiri
Chicago Fizz
Chiclet Daiquiri
Clara Astié Cocktail
Clarita
Coconut Rum Punch
Cold Comfort
Colonel Ward
Colonial Ties
Companion
Coquetail Au Vanille
Corn'n'Oil Cocktail
Cotillion
Cox's Daiquiri
Creole Cosmo
Cuba Libre
Cuban Liberal
Curiosity
Cyrano
Daiquiri (no added sugar & low-calorie)
Daiquiri Authentico
Daiquiri De Luxe
Daiquiri No.1 Natural (Countdown 3:2:1 formula)
Daiquiri No.2
Daiquiri Noir
Daisy de Santiago
Dark Daiquiri
Devil Woman
Dino Sour
Dirty Banana
Doctor No.1
Dominicana
Doubloon
Downhill Racer
Dr. Rieux
Drunken Helmsman
Dunderstruck
Dunlop Cocktail
Eccentrica Daiquiri
Egg Nog
El Especialista
El Mediterraneo
El Presidente (Sloppy Joe's)
El Presidente (with rhum agricole)
Elderflower Mojito
Electric Avenue
Elixir Fizz
Elle Loves cocktail
Especial Day
Espresso Daiquiri
Espresso Martiki
Espresso Rumtini
Expense Account
Fair & Warmer Cocktail
Fake I.D.
Fantasticus
Fat Tire
First Emperor
Fish House Punch
Fish House Punch #2
Flipping Good
Flor de Jerez
Floral Daiquiri
Florida Daiquiri
Fog Cutter
Fog Cutter (Bramble style)
For Sake's Sake
Fosbury Flip
Four Flush(er)
Four Leaf Clover
Four W Daiquiri
Fray Wray
French Daiquiri
French Mojito
Funky Banana
Funky Pirate Daiquiri
Genesis
German Vacation
Golden Retriever
Gonzo
Goombay Smash
Grand Slam No.2
Green Swizzle
Greta Garbo
Guayaba Arabica
Gun Club Punch No.1
Harold and Maude
Havana Special
Havanatheone
Hemingway Special Daiquiri (Papa Doble)
Hollywood
Honey Bee
Honey Daiquiri
Honey Rum Grog
Hotel Nacional Special
Hoyt's Daiquirí
Hurricane
Hwachae
Improved Dunlop Cocktail
In the August Sun
Isla de Piño
Islay Daiquiri
It's Hartnell Damn It!
Jack Tar
Jägerdame
Jamie's Mojito
Jayne Mansfield
Jean Harlow
Jet Pilot
José Marti Especial
Jungle Bird
Jungle Hunt
Kamaniwanalaya
King's Jubilee
Kingston
Knickerbocker
La Cola Nostra
Larchmont
Limey Gimlet
Lisa's Special Daiquiri
Long Island Iced Tea (no added sugar* & low-calorie)
Lost Plane
Love me flip
Lovely Pear of Coconuts
Madame Lily
Mai Tai (Trader Vic's) Cocktail
Maid in Cuba
Major Bailey #2
Malecon Cocktail
Mariposa
Mary Pickford Cocktail
Mediocre
Melba Cocktail
Menehune Juice
Mint & Honey Daiquiri
Mint Daiquiri
Miracle Worker
Missionary's Downfall
Mojito (no added sugar & low-calorie)
Mollymock
More Supreme Daiquiri
Mr. Bali Hai
Mulata Daiquiri
Mulata Daisy
Myrtle Bank Special Rum Punch
Nevada Daiquiri
No. 10 Lemonade
Nuclear Daiquiri
Nui Nui
Nuka Nuka
Occasion
Oh Gosh!
Old Cuban
Optimist
Orange Daiquiri
Orange Mojito
Paddington
Pago Pago Cocktail
Painkiller
Palermo
Palomino Flor
Parisian Blonde
Parisien Mojito
Parthenon Old-Fashioned
Patriota
Peach Tea
Peligroso
Perfume Daiquiri
Persepolis
Pilar
Piña Clara
Pina Colada Cocktail (Puerto Rican style)
Pineapple & Cardamom Daiquiri
Pineapple Daiquiri #1 (On-The-Rocks)
Pineapple Daiquiri #2 (Frozen)
Pineapple Daiquiri (simple but tasty recipe)
Pineapple Express
Pineapple Mojito
Pirate Queen
Planter's Punch
Playa Fortuna
Pomegranate Daiquiri
Prestige Cocktail
Quarantine Order
Queen Mother
Queen's Park Hotel Super Cocktail
Queen's Park Swizzle
Quotidien
Ranglum
Red Rum 'Martini'
Reggae Rum Punch
Ripe Red Slice
Roosevelt Cocktail
Rum & Rye Sour
Rum Amandine
Rum Daisy
Rum Dum Sour
Rum Negroni
Rum Punch-Up
Rum Sour
Rumshack Punch
Sailor's Swizzle
Saint-Marc Daiquiri
Salvatore Meets
September Morn
Shark's Tooth (by Don Beach)
Sharman-Cox Daiquiri
Silver Pineapple
Simple Truth
Sin Limites
Sir Walter Cocktail
Slow Comfortable Screw Against a Cold Hard Wall
Slow Comfortable Screw Against The Wall With A Bang
Slow Comfortable Screw Between the Sheets
Sol Ardiente
St. Stephen's Sour
Stanley Cocktail
Steel Drum
Strawberry Daiquiri (frozen)
Summa Peto
Tahitian Honey Bee
Tapered Nail
The Field Marshal
The Haole
The Italian Job Cocktail
The Last Time (AKA Stop Fiddling With My Drink)
The Malagueña
The Matinee
The Milkman
The Moment
The Persuader
The Rum Pickle
The Salty Bird
The Seventh Art
The Smoke Also Rises
Thunder In Paradise
Ti Punch
Tia Mia
Tiki Max
Tom & Jerry
Tootsie Roll
Top Banana
Treacle No.1
Tres Amigos Daiquiri
Twelve Mile Limit
Twelve Miles Out Cocktail
Under The Clouds
Vanessa Polk
Vanilla & Grapefruit Daiquiri
Vanilla Daiquiri
Venceremos
Visionario
Waldorf Daiquiri
Wardroom
White Old Fashioned
White Water Ride
Will Of Alan
Witches' Daiquiri
Yellow Bird
Young Cuban
Zegroni
1862
Abacaxi Ricaço
Acapulco
Acapulco Daiquiri
Adelaide Swizzle
Adios Motherfucker
Admiral's Salute
Agua De Cuba
Alamagoozlum Cocktail
Almond Pina Colada
Alpine Swift
Amado
Amalia
Amalia (by Robert Kalvans)
Apple Mojito
Argha Noah
Art of Choke
Artichoke Hold
Awol
BACARDÍ Elements
Bajan Mojito
Bajan Passion
Banana Colada
Banana Havana Highball
Bandelures
Basil & Honey Daiquiri
BBC (by Marian Beke)
Beach Blonde
Beachcomber
Beachcomber's Daiquiri
Beautiful Beth
Bee's Knees (with rum & cream)
Beetroot & Vanilla Daiquiri
Belgium Avenue
Bella Donna Daiquiri
Better & Better
Bicardar
Bitches Brew
Bitter Mai Tai
Bittersweet Victory
Black River
Black Rum Swizzle
Black Rumhattan
Black Strap
Black Tie
Blade Runner
Blue Hawaii
Blueberry Daiquiri
Blush
Bolero Sour
Bolshoi Punch
Bon Vivant
Bridgetown Daiquiri
Bull's Blood
Buona Sera Shot
Bushranger
Butterscotch Cocktail
Bywater
Caipirissima
Cajun Moon
Captain Ron
Caribbean Breeze
Caribbean Colada
Caribbean Punch
Caribe Daiquiri
Caribeño
Casablanca
Cazador
Che's Revolution
Cherry Mojito
Chocolate Puff
"Chocolate, Rum & Raisin"
Citrus Rum Cooler
Club Cocktail (Butt's recipe)
Coconut Daiquiri
Columbus Daiquiri
Commodore No.1
Cool Orchard
Creamy Vanilla Colada
Crème de Café
Cuba Pintada
Cuban Cocktail No.2
Cuban Cocktail No.3
Cuban Heal
Cuban Pete
Cubanita
Culross Cocktail
Custard Tart
Daiquiri No.1 (El Floridita style)
Daiquiri No.2 (El Floridita style)
Daiquiri No.4 (Florida style)
Daiquiri No.5 (Pink Daiquiri)
Dark 'N' Stormy (Difford's recipe)
Dark 'n' Stormy Highball
DC Martini
Derby Daiquiri
Devil's Horn
Ding-A-Ling
Doctor Funk
Doctor No.4
Dolce Havana
Dolores #1
Don Daisy
