Name,Ingredients,Making,Link,Glass,Garnish,Type,Flavor
Dry Martini 'Preferred Stirred' (5:1 ratio),"['2 1⁄12 shot Rutte Dry Gin', '5⁄12 shot Martini Extra Dry vermouth', '1 dash Orange Bitters by Angostura (optional)']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/676/dry-martini-preferred-stirred-51-ratio,Martini glass,Chilled skewered olive or lemon zest twist (or served Dicken's-style without a garnish),,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 9']"
Dry Martini (15:1 ratio) Montgomery's,"['2 1⁄2 shot Rutte Dry Gin', '1⁄6 shot Martini Extra Dry vermouth', '1 dash Orange Bitters by Angostura (optional)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/2508/dry-martini-151-ratio-montgomerys,Martini glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 10', 'Sweet 0 - Dry/Sour 10: 9']"
Ferrobaldi Cocktail,"['1 1⁄2 shot Ferro China Baliva', '4 shot Orange juice (freshly squeezed)']",Squeeze orange juice using pillar or elbow press and fine strain to remove any flesh. Then blend freshly squeezed juice at high speed (without ice) to make “fluffy”. Pour Ferro China and half the fluffy orange juice into glass over 2 cubes of ice and STIR. Fill glass with more ice (3 cubes) and rest of fluffy orange juice.,https://www.diffordsguide.com/cocktails/recipe/4398/ferrobaldi-cocktail,Highball (max 10oz/300ml),Orange wedge rested across rim,,"['Gentle 0 - Boozy 10: 2', 'Sweet 0 - Dry/Sour 10: 5']"
High Ryeser,"['1 1⁄2 shot Straight rye whiskey (100 proof / 50% alc./vol.)', '1 1⁄2 shot Martini Rosso sweet vermouth', '1 dash Angostura Aromatic Bitters']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/6281/high-ryeser,Coupe glass,Orange zest twist (discarded) & Luxardo Maraschino cherry,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
Iron Negroni,"['1 shot Rutte Dry Gin', '1 shot Ferro China Baliva', '1 shot Martini Rosso sweet vermouth']",STIR all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/4599/iron-negroni,Old-fashioned glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 7']"
Left Bank Martini,"['2 shot Rutte Dry Gin', '1⁄2 shot Fiorente Elderflower liqueur', '1⁄2 shot Chardonnay (Chablis) white wine', '1⁄4 shot Martini Extra Dry vermouth']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/2464/left-bank-martini,Martini glass,Lime zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
Madurised Old Fashioned Godfather,"['1⁄2 shot Bourbon whiskey', '1⁄2 shot Straight rye whiskey (100 proof / 50% alc./vol.)', ""1⁄2 shot Dewar's 12 Year Old Scotch whisky"", '1⁄2 shot Disaronno amaretto', '1⁄2 shot Rainwater/Verdelho (med-dry) Madeira wine']",STIR all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/3813/madurised-old-fashioned-godfather,Old-fashioned glass,Toasted almonds,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 6']"
Margarita on-the-rocks (Difford's recipe),"['1 1⁄2 shot Patrón Reposado tequila', '3⁄4 shot De Kuyper Triple Sec (40%)', '3⁄4 shot Lime juice (freshly squeezed)', '1⁄6 shot Agave syrup', '2 drop Saline solution 4:1 (20g sea salt to 80g water) (optional)', ""4 drop Difford's Margarita Bitters (optional)""]",SHAKE all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/1255/margarita-on-the-rocks-diffords-recipe,Old-fashioned glass,Salt rim (optional) & lime wedge,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 7']"
Marsala Martini,"['2 shot Rutte Dry Gin', '1⁄3 shot Marsala Superiore DOC secco wine', '1⁄3 shot Martini Extra Dry vermouth', '1⁄6 shot Disaronno amaretto']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/3450/marsala-martini,Coupe glass,Pickled almond,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 7']"
Martinez,"['2 shot Rutte Old Simon Genever', '1 shot Martini Rosso sweet vermouth', '1⁄4 shot Martini Extra Dry vermouth', '1⁄4 shot Orange Curaçao liqueur', '1 dash Angostura Aromatic Bitters']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/1264/martinez,Coupe glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
Mezcal Dante,"['3 fresh Basil leaves', '1 shot Del Maguey VIDA mezcal', '1⁄2 shot Patrón Silver blanco tequila', '1⁄3 shot Green Chartreuse liqueur', '1⁄4 shot Mentzendorff Kümmel liqueur', '1⁄3 shot Agave syrup', '2⁄3 shot Lime juice (freshly squeezed)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/12052/mezcal-dante,Coupe glass,Float basil leaf boat,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 7']"
Mezcal Fruit Cup (Diffords No.8 Cup),"['5⁄6 shot Del Maguey VIDA mezcal', '5⁄6 shot Orange Curaçao liqueur', '5⁄6 shot Martini Rosso sweet vermouth', ""2 dash Bob's Lavender Bitters"", '1 2⁄3 shot Thomas Henry Ginger Ale', '1 2⁄3 shot Cola (e.g. Coca Cola or Pepsi Cola)']",POUR all ingredients into glass. Half fill glass with ice. Add a citrus slice and a couple of mint leaves from garnish before filling to brim with ice. Finish with rest of garnish.,https://www.diffordsguide.com/cocktails/recipe/4211/mezcal-fruit-cup-diffords-no8-cup,Collins glass,"Lemon, orange & strawberry slices, mint sprig & borage",,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Mezcal Margarita,"['1 1⁄2 shot Del Maguey VIDA mezcal', '3⁄4 shot De Kuyper Triple Sec (40%)', '3⁄4 shot Lime juice (freshly squeezed)', '1⁄6 shot Agave syrup', '2 drop Saline solution 4:1 (20g sea salt to 80g water)', ""8 drop Difford's Margarita Bitters (optional)""]",SHAKE all ingredients with ice and fine strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/2497/mezcal-margarita,Old-fashioned glass,Lime wedge,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 7']"
Negroni Cocktail,"['1 shot Rutte Dry Gin', '1 shot Italian red bitter liqueur', '1 shot Martini Rosso sweet vermouth']",POUR all ingredients into ice-filled glass and STIR.,https://www.diffordsguide.com/cocktails/recipe/1392/negroni-cocktail,Old-fashioned glass,Orange wedge or slice and/or orange zest twist,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 6']"
New York Minute,"['1 3⁄4 shot Patrón Reposado tequila', '2⁄3 shot Antica Formula or other well aged sweet vermouth', '1⁄2 shot Luxardo Maraschino liqueur', ""1⁄6 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1 dash Whiskey barrel aged bitters']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/3465/new-york-minute,Coupe glass,Lemon and orange zest (discarded) & three coffee beans floating on drink,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 5']"
One Sip Martini,"['5⁄6 shot Ketel One Vodka', '1⁄6 shot Martini Riserva Speciale Ambrato', '1⁄24 shot Fino sherry']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/5001/one-sip-martini,Martini (small) glass,Gorgonzola (or Roquefort) cheese stuffed large olive (well chilled),,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 7']"
