Name,Ingredients,Making,Link,Glass,Garnish,Type,Flavor
Harold and Maude,"[""1 shot Dewar's 12 Year Old Scotch whisky"", '1 shot Havana Club 7yo rum', '1⁄2 shot Lemon juice (freshly squeezed)', '1⁄4 shot Rose sugar syrup', '1⁄6 shot Lavender sugar syrup']",SHAKE all ingredients with ice and fine strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/2806/harold-and-maude,Coupe glass,Orange zest twist,,
Harvest Cocktail,"['1 1⁄2 shot Avallen Calvados', '1 1⁄2 shot Vermouth amaro', '2 dash Angostura Aromatic Bitters']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/3960/harvest-cocktail,Nick & Nora glass,Luxardo maraschino cherry,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 8']"
Harvest Moon (1930s recipe),"['1 1⁄2 shot Applejack brandy bottled-in-bond (50% alc./vol)', '1⁄2 shot Lime juice (freshly squeezed)', '1⁄4 shot Giffard Orgeat Syrup', ""1⁄4 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1⁄3 shot Chilled water']",SHAKE all ingredients and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/4829/harvest-moon-1930s-recipe,Coupe glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Harvey Wallbanger,"['1 1⁄2 shot Ketel One Vodka', '2 1⁄4 shot Orange juice (freshly squeezed)', ""1⁄6 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '2 dash Orange Bitters by Angostura', ""5⁄12 shot Galliano L'Autentico liqueur""]",STIR first 4 ingredients with ice and strain into ice-filled glass. FLOAT Galliano on the surface.,https://www.diffordsguide.com/cocktails/recipe/936/harvey-wallbanger,Collins glass,Orange slice,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Havana Special,"['1 2⁄3 shot Havana Club 3 Year Old rum', '5⁄6 shot Pineapple juice (fresh pressed)', '5⁄12 shot Lime juice (freshly squeezed)', ""1⁄3 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1⁄6 shot Luxardo Maraschino liqueur', ""4 drop Difford's Daiquiri Bitters""]",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/938/havana-special,Coupe glass,Pineapple wedge on rim & speared Luxardo Maraschino cherry,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Havanatheone,"['10 fresh Mint leaves', '2 shot Havana Club 3 Year Old rum', '1⁄2 shot Lime juice (freshly squeezed)', '3⁄4 shot Apple juice (apple cider) unsweetened & unfiltered', '1⁄3 shot Honey syrup (3 honey to 1 water)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/939/havanatheone,Coupe glass,Mint leaf,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 7']"
Hawaiian Stone Sour,"['1 1⁄2 shot Bourbon whiskey', '3⁄4 shot Lemon juice (freshly squeezed)', '1 shot Pineapple juice (fresh pressed)', ""1⁄2 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]",SHAKE all ingredients with ice and fine strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/3284/hawaiian-stone-sour,Old-fashioned glass,Pineapple slice and Luxardo Maraschino cherry,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Haystack Cocktail,"['1 shot Bourbon whiskey', '5⁄6 shot Gentian liqueur (e.g. Suze, Salers etc)', '1⁄2 shot De Kuyper Apricot Brandy liqueur', '1⁄2 shot Lemon juice (freshly squeezed)']",SHAKE all ingredient with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/4322/haystack-cocktail,Coupe glass,Dried apricot on rim,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 8']"
Hazelnut Martini,"['1 2⁄3 shot Ketel One Vodka', '1⁄3 shot Hazelnut liqueur', '1⁄3 shot Dutch Cacao white crème de cacao', '1⁄3 shot Martini Extra Dry vermouth']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/948/hazelnut-martini,Martini glass,Drop 3 hazelnuts into cocktail,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
Hearn Cocktail,"['1 1⁄2 shot The Busker Blended Irish Whiskey', '1 1⁄2 shot Martini Rosso sweet vermouth', '1⁄2 shot Green Chartreuse liqueur', '4 dash Orinoco bitters', '2 dash La Fée Parisienne absinthe', '2 dash Orange Bitters by Angostura']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/3645/hearn-cocktail,Coupe glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 6']"
Heather Julep,"['12 fresh Mint leaves', ""2 1⁄2 shot Dewar's 12 Year Old Scotch whisky"", '1⁄2 shot Drambuie liqueur', ""1⁄2 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]",SHAKE all ingredients with ice and strain into glass filled with crushed ice. CHURN (stir) the drink using a bar spoon. Top the glass with more crushed ice so as to fill it and churn again. Serve with straws.,https://www.diffordsguide.com/cocktails/recipe/949/heather-julep,Julep tin,Mint sprigs,,
Heisenberg Cocktail,"['1 1⁄3 shot Patrón Añejo tequila', '1⁄2 shot Del Maguey VIDA mezcal', '1⁄3 shot Luxardo Maraschino liqueur', '2⁄3 shot Lime juice (freshly squeezed)', '1⁄4 shot Lavender sugar syrup', '1⁄4 shot De Kuyper Blue Curaçao', ""1⁄6 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]",SHAKE all ingredients with ice and fine strain into chilled glass. (Most appropriately served in a science beaker.),https://www.diffordsguide.com/cocktails/recipe/3434/heisenberg-cocktail,Coupe glass,Lime juice and blue-coloured salt rim,,
Hemingway Special Daiquiri (Papa Doble),"['3 1⁄2 shot Havana Club 3 Year Old rum', '1 shot Pink grapefruit juice (freshly squeezed)', '3⁄4 shot Luxardo Maraschino liqueur', '1 shot Lime juice (freshly squeezed)', ""1⁄2 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/954/hemingway-special-daiquiri-papa-doble,Martini (large 10oz) glass,Luxardo maraschino cherry &/or lime wedge/wheel,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 8']"
Herbaceous Border,"['1 2⁄3 shot Patrón Reposado tequila', '1⁄3 shot Bigallet Genepi Grand Tetras', '5⁄6 shot Lime juice (freshly squeezed)', '1⁄2 shot Celery saccharum (celery syrup)', ""4 drop Difford's Margarita Bitters""]",SHAKE all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/5034/herbaceous-border,Old-fashioned glass,Celery stick stirrer,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 5']"
Hey Sugar,"['1 cube Sugar cube', ""6 drop Difford's Margarita Bitters"", '1⁄3 shot Fiorente Elderflower liqueur', '4 shot Brut champagne or sparkling wine']","Drip one drop of bitters on each side of the sugar cube plus 2 more drops on the last face [one each for luck]. Drop the bitters-soaked sugar cube into a chilled glass, then pour other ingredients over cube.",https://www.diffordsguide.com/cocktails/recipe/7449/hey-sugar,Flute glass,Sprinkle dried rose blossom on the surface of the cocktail,,"['Gentle 0 - Boozy 10: 4', 'Sweet 0 - Dry/Sour 10: 6']"
Hi Ladies!,"['2 shot Ketel One Vodka', '8 fresh Mint leaves', '3⁄4 shot Lime juice (freshly squeezed)', ""1⁄2 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/2980/hi-ladies,Coupe glass,Mint sprig,,
Hi Life Spritz,"['1 shot Rutte Dry Gin (from freezer)', '1 shot Chardonnay (Chablis) white wine (chilled)', '2⁄3 shot Fiorente Elderflower liqueur', '2 shot Thomas Henry Soda Water (chilled)']",POUR all ingredients into ice-filled glass. TOP with soda and briefly stir.,https://www.diffordsguide.com/cocktails/recipe/3373/hi-life-spritz,Highball (max 10oz/300ml),Lime wedge squeezed and dropped in drink,,"['Gentle 0 - Boozy 10: 5', 'Sweet 0 - Dry/Sour 10: 6']"
High Kick,"[""1 1⁄2 shot Dewar's 12 Year Old Scotch whisky"", '3⁄4 shot Mentzendorff Kümmel liqueur', '3⁄4 shot Martini Extra Dry vermouth']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/4715/high-kick,Nick & Nora glass,Olive on stick,,"['Gentle 0 - Boozy 10: 10', 'Sweet 0 - Dry/Sour 10: 8']"
High King,"['2 fresh Raspberries (fresh)', '1 1⁄3 shot The Busker Blended Irish Whiskey', '1⁄3 shot Bittersweet orange-red aperitivo', '1⁄2 shot Lemon juice (freshly squeezed)', '1⁄2 shot Pink grapefruit juice (freshly squeezed)', ""1⁄4 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", ""1 dash Peychaud's or other Creole-style bitters"", '1⁄2 shot Thomas Henry Soda Water']","MUDDLE raspberries in base of shaker. Add next 6 ingredients (all but soda), SHAKE with ice and fine strain into ice-filled glass. TOP with soda.",https://www.diffordsguide.com/cocktails/recipe/6019/high-king,Collins glass,Lemon wheel & raspberry sail,,"['Gentle 0 - Boozy 10: 5', 'Sweet 0 - Dry/Sour 10: 6']"
High Noon,"['1 1⁄2 shot Horse with No Name habanero bourbon', '1⁄3 shot Kirschwasser (cherry) eau-de-vie', '1⁄3 shot Cherry Heering cherry brandy liqueur', '2⁄3 shot Martini Rosso sweet vermouth', '2 dash Angostura Aromatic Bitters']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/9712/high-noon,Coupe glass,Skewered Luxardo Maraschino cherry,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
High Noon (Mezcal-based),"['1 1⁄2 shot Del Maguey VIDA mezcal', '1⁄2 shot Italian red bitter liqueur', '1⁄2 shot De Kuyper Triple Sec (40%)', '1 shot Pink grapefruit juice (freshly squeezed)', '4 drop Saline solution 4:1 (20g sea salt to 80g water)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/11286/high-noon-mezcal-based,Coupe glass,Grapefruit zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 8']"
Highland Highball,"[""2⁄3 shot Dewar's 12 Year Old Scotch whisky"", '1⁄2 shot Martini Rosso sweet vermouth', '1⁄6 shot Bénédictine D.O.M.', '2 1⁄2 shot Thomas Henry Soda Water']",POUR all ingredients into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/4800/highland-highball,Highball (max 10oz/300ml),Lemon wheel,,"['Gentle 0 - Boozy 10: 5', 'Sweet 0 - Dry/Sour 10: 5']"
Highland Sazerac,"['1⁄4 shot Green Chartreuse liqueur', '1 1⁄2 shot Rémy Martin 1738 Cognac', '1⁄2 shot Speyside single malt Scotch whisky', ""1⁄4 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", ""3 dash Peychaud's or other Creole-style bitters"", '2 dash Angostura Aromatic Bitters']","POUR Chartreuse into glass and twirl to coat inside with liqueur, fill glass with ice and stand to one side. Separately, STIR other ingredients with ice in mixing glass. DISCARD contents of glass (Chartreuse and ice), fill with fresh ice and strain contents of mixing glass.",https://www.diffordsguide.com/cocktails/recipe/2807/highland-sazerac,Old-fashioned glass,Lemon zest twist,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 7']"
Hocus Pocus,"['2 shot Rutte Dry Gin', '3⁄4 shot Antica Formula or other well aged sweet vermouth', '3⁄4 shot Orange Curaçao liqueur', '1⁄6 shot Fernet liqueur']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/3285/hocus-pocus,Coupe glass,Orange zest twist,,
Holiday Martini,"['1 2⁄3 shot Rutte Dry Gin', '2⁄3 shot Fino sherry', '1⁄6 shot Americano Bianco']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/5157/holiday-martini,Nick & Nora glass,Cocktail onion,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 8']"
Hollywood,"['1 1⁄2 shot Bacardi Carta Blanca light rum', '1⁄3 shot Pink grapefruit juice (freshly squeezed)', '1⁄6 shot Giffard Grenadine syrup', ""1⁄12 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1⁄2 shot Pasteurised egg white (or aquafaba)']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/2878/hollywood,Coupe glass,Dust with freshly grated nutmeg,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Holy Joe Cocktail,"['1 1⁄2 shot The Busker Blended Irish Whiskey', '3⁄4 shot Martini Rosso sweet vermouth', '1⁄2 shot De Kuyper Apricot Brandy liqueur', '1⁄4 shot Cynar or other carciofo amaro']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/4114/holy-joe-cocktail,Coupe glass,Lemon zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 8']"
Holy Smokes No.1,"['1 1⁄2 shot Bourbon whiskey', '1⁄2 shot Vermouth amaro', '1⁄2 shot Bénédictine D.O.M.', '1⁄6 shot Islay single malt (peated) Scotch whisky', ""4 drop Bob's Chocolate bitters""]",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/4989/holy-smokes-no1,Nick & Nora glass,Flamed orange zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
Home On The Range,"['1 1⁄2 shot Straight rye whiskey (100 proof / 50% alc./vol.)', '1 1⁄2 shot Dubonnet/French rouge aromatised wine', '1⁄6 shot De Kuyper Triple Sec (40%)', '1 dash Angostura Aromatic Bitters']",STIR all ingredients with ice and strain into ice-filled glass (or straight-up in a coupe).,https://www.diffordsguide.com/cocktails/recipe/4788/home-on-the-range,Old-fashioned glass,Lemon & orange zest twists,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
Homely Smoke,"['1 1⁄2 shot Rémy Martin 1738 Cognac', '1⁄2 shot Disaronno amaretto', '1⁄4 shot Islay single malt (peated) Scotch whisky', '1 spoon Honey syrup (3 honey to 1 water)', '1 dash Angostura Aromatic Bitters']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/3720/homely-smoke,Martini glass,Lemon zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 7']"
Honey Badger,"['1 sprig Rosemary sprig', '1 1⁄2 shot Bourbon whiskey', '1⁄2 shot Yellow Chartreuse liqueur', '1⁄3 shot Ginger syrup', '1⁄3 shot Honey syrup (3 honey to 1 water)', '2⁄3 shot Lemon juice (freshly squeezed)', '2 dash Lemon bitters']","De-stalk a sprig of rosemary and MUDDLE the leaves with bourbon in base of shaker. Add other ingredients, SHAKE with ice and strain into ice-filled glass.",https://www.diffordsguide.com/cocktails/recipe/3968/honey-badger,Old-fashioned glass,Lemon zest twist (discarded) & rosemary sprig,,"['Gentle 0 - Boozy 10: 5', 'Sweet 0 - Dry/Sour 10: 7']"
Honey Bee,"['2 shot Jamaican aged blended rum', '1⁄2 shot Lemon juice (freshly squeezed)', '1⁄2 shot Honey syrup (3 honey to 1 water)', '1⁄4 shot Orange juice (freshly squeezed) (optional)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/962/honey-bee,Coupe glass,Lemon zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 7']"
Honey Cobbler,"['2 spoon Honey', ""1 1⁄2 shot Dewar's 12 Year Old Scotch whisky"", '1 shot Claret red wine', '1⁄4 shot Giffard Noir de Bourgogne Cassis']","STIR honey with Scotch in base of shaker until honey dissolves. ADD other ingredients, SHAKE with ice and strain into ice-filled glass.",https://www.diffordsguide.com/cocktails/recipe/3325/honey-cobbler,Goblet glass,Mint sprig and berries,,
Honey Cosmopolitan,"['1 2⁄3 shot Grapefruit flavoured vodka', '1 1⁄3 shot Cranberry juice (sweetened)', '1⁄3 shot Pink grapefruit juice (freshly squeezed)', '1⁄6 shot Lime juice (freshly squeezed)', '1⁄3 shot Honey syrup (3 honey to 1 water)', ""4 drop Bob's Grapefruit Bitters""]",SHAKE all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/6537/honey-cosmopolitan,Coupe glass,Grapefruit zest twist,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 7']"
Honey Daiquiri,"['2 shot Havana Club 3 Year Old rum', '2⁄3 shot Honey syrup (3 honey to 1 water)', '1⁄3 shot Lime juice (freshly squeezed)', '1⁄3 shot Lemon juice (freshly squeezed)', '1⁄3 shot Chilled water']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/965/honey-daiquiri,Coupe glass,Lime wedge on rim,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 7']"
Honey Margarita,"['2 shot Patrón Reposado tequila', '1⁄2 shot Lime juice (freshly squeezed)', '2⁄3 shot Honey syrup (3 honey to 1 water)']",SHAKE all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/5035/honey-margarita,Old-fashioned glass,Lime wedge,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Honey Rum Grog,"['1 1⁄2 shot Navy rum (54.5% alc./vol.)', '3 spoon Honey', '1⁄4 shot Lime juice (freshly squeezed)', '2 shot Chilled water', '2 dash Angostura Aromatic Bitters']","STIR honey with other ingredients in base of shaker until the honey is dissolved. Add ice, SHAKE and strain into ice-filled glass.",https://www.diffordsguide.com/cocktails/recipe/1391/honey-rum-grog,Old-fashioned glass,Lime wedge,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Honeymentum,"['1 fresh Mint leaves', '1 1⁄2 shot Monkey 47 Experimentum Series 2y06 Gin', '2⁄3 shot Amontillado sherry', '1⁄2 shot Honey syrup (3 honey to 1 water)', '1⁄2 shot Apple juice (apple cider) unsweetened & unfiltered']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/12229/honeymentum,Coupe glass,Float mint leaf or peg to rim,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Honeymoon,"['1 shot Avallen Calvados', '1 shot Bénédictine D.O.M.', '1⁄2 shot Lemon juice (freshly squeezed)', '1⁄6 shot Orange Curaçao liqueur']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/969/honeymoon,Coupe glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 7']"
Hornitos Lau,"['10 fresh Mint leaves', '1 2⁄3 shot Patrón Reposado tequila', '1 1⁄4 shot Licor 43 Original liqueur', '5⁄12 shot Lime juice (freshly squeezed)']",SHAKE all ingredients with ice and fine strain into glass filled with crushed ice. CHURN (stir) drink and add more crushed ice so drink fills glass.,https://www.diffordsguide.com/cocktails/recipe/978/hornitos-lau,Collins glass,Mint sprig,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Hoskins Cocktail,"['1 1⁄3 shot Rutte Dry Gin', '1⁄2 shot Amer Picon', '1⁄3 shot Luxardo Maraschino liqueur', '1⁄6 shot De Kuyper Triple Sec (40%)', '1 dash Orange Bitters by Angostura']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/11726/hoskins-cocktail,Nick & Nora glass,Flamed orange zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 7']"
Hot Toddy (Hot Scotch & Lemon),"[""1 1⁄2 shot Dewar's 12 Year Old Scotch whisky"", '1⁄4 shot Lemon juice (freshly squeezed)', '1⁄4 shot Honey syrup (3 honey to 1 water)', ""1⁄6 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '3 dried Clove', '2 shot Boiling water']",POUR all ingredients into pre-warmed glass and STIR.,https://www.diffordsguide.com/cocktails/recipe/987/hot-toddy-hot-scotch-and-lemon,Toddy glass,Lemon slice studded with cloves & cinnamon stick,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Hot Toddy (Hot Scotch & Tea),"['1 spoon Honey', ""2 shot Dewar's 12 Year Old Scotch whisky"", '3 dried Clove', '1⁄4 spoon Freshly grated nutmeg', 'Top up with Breakfast tea (hot)']",Place bar spoon loaded with honey in warmed glass. Add other ingredients and STIR until honey dissolves.,https://www.diffordsguide.com/cocktails/recipe/988/hot-toddy-hot-scotch-and-tea,Toddy glass,Lemon zest twist,,
Hotel Nacional Special,"['1 2⁄3 shot Havana Club 3 Year Old rum', '1⁄3 shot De Kuyper Apricot Brandy liqueur', '2⁄3 shot Pineapple juice (fresh pressed)', '1⁄2 shot Lime juice (freshly squeezed)', ""1⁄3 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", ""4 drop Difford's Daiquiri Bitters (optional)""]",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/1383/hotel-nacional-special,Coupe glass,Pineapple (or lime) wedge on rim,,"['Gentle 0 - Boozy 10: 5', 'Sweet 0 - Dry/Sour 10: 6']"
Hoyt's Daiquirí,"['2 shot Havana Club 3 Year Old rum', '1 shot Lime juice (burnt)', '1⁄4 shot Jägermeister', '1⁄2 shot Vanilla sugar syrup', '1⁄2 shot Pasteurised egg white (or aquafaba)']",Sear two halves of lime with a chef's blow torch and squeeze into a shaker. SHAKE all remaining ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/2447/hoyts-daiquiri,Coupe glass,Lime slice (seared),,
Hunk Cocktail,"['1 2⁄3 shot Absolut Vanilia vodka', '1 1⁄2 shot Pineapple juice (fresh pressed)', '1⁄3 shot Lime juice (freshly squeezed)', ""1⁄6 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/991/hunk-cocktail,Martini glass,Luxardo Maraschino cherry dropped into glass,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Hunter's Tea,"['1 2⁄3 shot Brewed cold black breakfast tea', '2⁄3 shot Lime juice (freshly squeezed)', '1⁄2 shot Maple syrup', '1 2⁄3 shot Jägermeister']","STIR first 3 ingredients until maple syrup dissolves. Add Jägermeister, STIR with ice and strain into ice-filled glass (preferably over a chunk of block ice).",https://www.diffordsguide.com/cocktails/recipe/4907/hunters-tea,Old-fashioned glass,Lemon zest twist,,"['Gentle 0 - Boozy 10: 5', 'Sweet 0 - Dry/Sour 10: 5']"
Hurricane,"['1 1⁄2 shot Havana Club 3 Year Old rum', '5⁄6 shot Navy rum (54.5% alc./vol.)', '5⁄6 shot Pineapple juice (fresh pressed)', '1⁄2 shot Orange juice (freshly squeezed)', '1⁄2 shot Lime juice (freshly squeezed)', '1⁄3 shot Lime cordial (sweetened lime juice)', ""1⁄4 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1⁄6 shot Passion fruit syrup']",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,https://www.diffordsguide.com/cocktails/recipe/993/hurricane,Hurricane glass,Pineapple wedge & Luxardo Maraschino cherry,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 5']"
Hwachae,"['2 shot Bacardi Carta Blanca light rum', '1⁄2 shot Maple syrup', '3 wedge Watermelon (fresh)', '3 wedge Pineapple (fresh)', '1⁄4 shot Lemon juice (freshly squeezed)', '1 1⁄2 shot Pilsner lager']","Place white rum, watermelon, and pineapple in a shaker and hand blend for 5-10 seconds. Add other ingredients, SHAKE with ice and fine strain into chilled glass. TOP with beer.",https://www.diffordsguide.com/cocktails/recipe/3899/hwachae,Coupe glass,Dehydrated pineapple chip,,
Ice 'T' Knee,"['2 shot Ketel One Vodka', '1 1⁄2 shot Jasmine tea (cold)', '3⁄4 shot Canadian icewine']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/996/ice-t-knee,Martini glass,Orange zest twist,,
Ice in the Hat,"['1 1⁄2 shot Rutte Dry Gin', '1⁄2 shot Becherovka liqueur', '1⁄2 shot Martini Bianco vermouth', '1⁄4 shot Giffard Menthe Pastille white crème de menthe']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/9981/ice-in-the-hat,Coupe glass,None,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Iced Sake Martini,"['2 shot Ketel One Vodka', '1 shot Sake', '1⁄4 shot Canadian icewine']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/998/iced-sake-martini,Martini glass,Cucumber slices,,
Ideal,"['5⁄6 shot Rutte Dry Gin', '5⁄6 shot Martini Extra Dry vermouth', '5⁄6 shot Martini Rosso sweet vermouth', '1⁄6 shot Luxardo Maraschino liqueur', '1⁄4 shot Pink grapefruit juice (freshly squeezed)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/2449/ideal,Coupe glass,Serve with almonds on the side,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 8']"
Ill Viaggio,"['1 1⁄2 shot Disaronno amaretto', '1 shot Rabarbaro liqueur', ""3 dash Peychaud's or other Creole-style bitters""]",SHAKE all ingredients with ice and fine strain into ice-filled glass (preferably over a chunk of block ice).,https://www.diffordsguide.com/cocktails/recipe/4117/ill-viaggio,Old-fashioned glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 3', 'Sweet 0 - Dry/Sour 10: 9']"
Improved Bronx,"['1 1⁄2 shot Rutte Dry Gin', '3⁄4 shot Martini Rosso sweet vermouth', '1⁄2 shot Martini Extra Dry vermouth', '1 shot Tangerine / Mandarin / Clementine juice (fresh juice)', '1 dash Orange Bitters by Angostura']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/4726/improved-bronx,Coupe glass,Tangerine/mandarin wedge on rim,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Improved Dunlop Cocktail,"['2 shot Tawny port', '1 shot Martinique V.S.O.P rum', '1⁄6 shot Clement Sirop de Canne', '1 dash Xocolatl mole bitters']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/4822/improved-dunlop-cocktail,Coupe glass,Grapefruit zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
