Name
American Beauty (by David Embury)
Brunswick
Cold War Easier
Devil Smoked Margarita
Devil's Margarita
Eighteen '97
Elixir Fizz
Greenwich Sour
Honey Cobbler
Kroton Cup
Manky Panky Cocktail
Margarita del Diablo
Mulled Negroni
New York Sour (no added sugar & low-calorie)
New York Sour cocktail
New York Stone Sour
New Yorker
Red Gemma
Red Manhattan
Sangaree (Sangria)
Velvet Revolver
Archibald Periscope
Back To The Origin
Claret Cobbler
Cobbled Raspberry
Cosmopolitan Delight
Divino's
Extra Sangria
Hot Red Blooded Frenchman
Italian Job #2
Le Sang
Midnight in New York
Mulled Apple Black
Mulled Wine
Pinot Grinchio
Red Angel 'Martini'
Red Rover
Sangria Cocktail
Tripleberry
Vanilla & Raspberry Cocktail
Cardinal Punch
Melchior
Nanhi Pari
Origins
Caravan
Hot Wine Lemonade
Fuego
Sempiternal
