Name,Ingredients,Making,Link,Type
Blue Murder,"['1/3 oz. Bacardi 151 Proof Rum', '1/3 oz. Galliano', '1/3 oz. Blue Curacao']",Layer into a shot glass.,https://www.barnonedrinks.com/drinks/b/blue-murder-10925.html,Shooters
Blue Nipple,"['1/3 oz. Blue Curacao', '1/3 oz. Sambuca', '1/3 oz. Vodka']",Shake with ice and strain into a shot glass.,https://www.barnonedrinks.com/drinks/b/blue-nipple-6757.html,Shooters
Blue Northern,"['1/2 oz. Yukon Jack', '1/2 oz. Peppermint Schnapps']","Pour into shot glass, shoot and shiver!",https://www.barnonedrinks.com/drinks/b/blue-northern-10442.html,Shooters
Blue Nyquil,"['1/2 oz. Malibu Rum', '1/2 oz. Midori', '1/2 oz. Blue Curacao', '1/2 Amaretto', '1 dash(es) Pineapple Juice', '1 dash(es) Sour Mix']","Shake over ice, then strain into a shot glass.",https://www.barnonedrinks.com/drinks/b/blue-nyquil-7996.html,Shooters
Blue Razzberry Shotz,"['1 oz. Sourpuss Apple Liqueur', '1 oz. Blue Curacao', '1 oz. Sprite', '1 oz. Cranberry Juice']","Mix Sour Apple Sour Puss and Blue Curacao in a large shot glass. Mix Sprite and Cranberry Juice in an old fashioned glass, then drop the shot inside and enjoy the purple party.",https://www.barnonedrinks.com/drinks/b/blue-razzberry-shotz-9795.html,Shooters
Blue Silk Panties,"['1 oz. Malibu Rum', '1/2 oz. Blue Curacao', '1 splash(es) Lemon Juice']",Shake with ice and strain into a shot glass.,https://www.barnonedrinks.com/drinks/b/blue-silk-panties-7053.html,Shooters
Blue Suicide,"['2/3 oz. Everclear', '2/3 oz. Blue Curacao', '2/3 oz. Bacardi 151 Proof Rum']",Shake with ice and stain into a shot glass.,https://www.barnonedrinks.com/drinks/b/blue-suicide-8233.html,Shooters
Blue Waterfall,"['1 oz. Sambuca', '1 oz. Blue Curacao', 'Cinnamon']",Pour Sambuca and Blue Curacao in a wine glass. Light on fire and sprinkle the Cinnamon on the flames.,https://www.barnonedrinks.com/drinks/b/blue-waterfall-11388.html,Shooters
Blue X Bomb,"['1 part(s) X-Rated Fusion Liqueur', '1 part(s) Full Throttle Blue Demon']",Pour into a shooter glass and shoot.,https://www.barnonedrinks.com/drinks/b/blue-x-bomb-13322.html,Shooters
Blueberry Bitch,"['1 oz. Sour Apple Schnapps green apple', '1 oz. Blue Curacao']",Layer in a shot glass.,https://www.barnonedrinks.com/drinks/b/blueberry-bitch-10818.html,Shooters
