Name
Pan American Clipper
Millionaire
Blue Hawaii
Reggae Rum Punch
Mojito
Champagne Holiday Punch
Canchánchara
Cobra Verde
Ginger Fever Punch
Long Island Iced Tea
Kamikaze
Daiquiri
Upper Cut
Kombucha Sangria
Frozen Daiquiri
Bootstitch
Japanese Sour
Apricot Ginger Whiskey Sour
Bordeaux Sour
Dizzy Delight
Cave Creek
"What’s Up, Doc"
Washington Apple Shot
Gold Rush
Cucumber Cleanse
Beet Rose
Tom Collins
Brown Derby
Margarita
Tequila Sunrise
Pisco Sour
Man o’ War
Sidecar
Caipirinha
Whiskey Sour
Cosmopolitan
French Martini
Scofflaw
Hot Toddy
