Name
New Year’s Sparkler
“Harry Potter” Butterbeer
Pickleback
Absinthe Drip
Death in the Afternoon
Michelada
French 75
Irish Shot
Flaming Dr. Pepper
Watermelon White Wine Spritzer
Cranberry-Ginger Mimosa
Mimosa
Little Kiss
London Toddy
Champagne Cocktail
Infused Tom Collins
Maple Beet Shrub
Holiday Sparkler
Elderflower Fizz
Kir Royale
Pomosa
"Snap, Crackle, Drop"
Mink Coat & No Manners
Rose-Colored Glass
Forbidden Apple
Professor
Hot Shot
Golden Gate Spritz
Ressikan Flute
Bananarac
Lemon Shandy
